date,sales
1/1/2013,4128
1/2/2013,4128
1/3/2013,4128
1/4/2013,4128
1/5/2013,4128
1/6/2013,4128
1/7/2013,4128
1/8/2013,4128
1/9/2013,4128
1/10/2013,4128
1/11/2013,4128
1/12/2013,1912
1/13/2013,1912
1/14/2013,1912
1/15/2013,1912
1/16/2013,1912
1/17/2013,1912
1/18/2013,1912
1/19/2013,1912
1/20/2013,1912
1/21/2013,1912
1/22/2013,1912
1/23/2013,1912
1/24/2013,6246
1/25/2013,6246
1/26/2013,6246
1/27/2013,6246
1/28/2013,6246
1/29/2013,6246
1/30/2013,6246
1/31/2013,6246
2/1/2013,6246
2/2/2013,6246
2/3/2013,2539
2/4/2013,2539
2/5/2013,2539
2/6/2013,2539
2/7/2013,2539
2/8/2013,2539
2/9/2013,2539
2/10/2013,2539
2/11/2013,2539
2/12/2013,2539
2/13/2013,2539
2/14/2013,2539
2/15/2013,2539
2/16/2013,2539
2/17/2013,2539
2/18/2013,2539
2/19/2013,2539
2/20/2013,2539
2/21/2013,2539
2/22/2013,6215
2/23/2013,6215
2/24/2013,6215
2/25/2013,6215
2/26/2013,6215
2/27/2013,6215
2/28/2013,6215
3/1/2013,6215
3/2/2013,6215
3/3/2013,6215
3/4/2013,6215
3/5/2013,6215
3/6/2013,6215
3/7/2013,6215
3/8/2013,6215
3/9/2013,6215
3/10/2013,6215
3/11/2013,6215
3/12/2013,6215
3/13/2013,6215
3/14/2013,6215
3/15/2013,6215
3/16/2013,6215
3/17/2013,6215
3/18/2013,6215
3/19/2013,6215
3/20/2013,6215
3/21/2013,6215
3/22/2013,1243
3/23/2013,1243
3/24/2013,1243
3/25/2013,1243
3/26/2013,1243
3/27/2013,1243
3/28/2013,1243
3/29/2013,1243
3/30/2013,1243
3/31/2013,1243
4/1/2013,1243
4/2/2013,1243
4/3/2013,1243
4/4/2013,1243
4/5/2013,1243
4/6/2013,1243
4/7/2013,1243
4/8/2013,3429
4/9/2013,3429
4/10/2013,3429
4/11/2013,3429
4/12/2013,3429
4/13/2013,3429
4/14/2013,3429
4/15/2013,3429
4/16/2013,3429
4/17/2013,3429
4/18/2013,3429
4/19/2013,3429
4/20/2013,3429
4/21/2013,3429
4/22/2013,3429
4/23/2013,3429
4/24/2013,3429
4/25/2013,3429
4/26/2013,3429
4/27/2013,3865
4/28/2013,3865
4/29/2013,3865
4/30/2013,3865
5/1/2013,3865
5/2/2013,3865
5/3/2013,3865
5/4/2013,3865
5/5/2013,3865
5/6/2013,3865
5/7/2013,3865
5/8/2013,3865
5/9/2013,3865
5/10/2013,3865
5/11/2013,3865
5/12/2013,3865
5/13/2013,3865
5/14/2013,3865
5/15/2013,3865
5/16/2013,3865
5/17/2013,8162
5/18/2013,8162
5/19/2013,8162
5/20/2013,8162
5/21/2013,8162
5/22/2013,8162
5/23/2013,8162
5/24/2013,8162
5/25/2013,8162
5/26/2013,8162
5/27/2013,8162
5/28/2013,8162
5/29/2013,8162
5/30/2013,8162
5/31/2013,8162
6/1/2013,8946
6/2/2013,8946
6/3/2013,8946
6/4/2013,8946
6/5/2013,8946
6/6/2013,8946
6/7/2013,8946
6/8/2013,8946
6/9/2013,8946
6/10/2013,8946
6/11/2013,8946
6/12/2013,8946
6/13/2013,8946
6/14/2013,8946
6/15/2013,8946
6/16/2013,8946
6/17/2013,8231
6/18/2013,8231
6/19/2013,8231
6/20/2013,8231
6/21/2013,8231
6/22/2013,8231
6/23/2013,8231
6/24/2013,8231
6/25/2013,8231
6/26/2013,8231
6/27/2013,8231
6/28/2013,8231
6/29/2013,8231
6/30/2013,8231
7/1/2013,8231
7/2/2013,8231
7/3/2013,8231
7/4/2013,5809
7/5/2013,5809
7/6/2013,5809
7/7/2013,5809
7/8/2013,5809
7/9/2013,5809
7/10/2013,5809
7/11/2013,5809
7/12/2013,5809
7/13/2013,5809
7/14/2013,5809
7/15/2013,5809
7/16/2013,5809
7/17/2013,5809
7/18/2013,5809
7/19/2013,5809
7/20/2013,5809
7/21/2013,5809
7/22/2013,5809
7/23/2013,5809
7/24/2013,5809
7/25/2013,5809
7/26/2013,2546
7/27/2013,2546
7/28/2013,2546
7/29/2013,2546
7/30/2013,2546
7/31/2013,2546
8/1/2013,2546
8/2/2013,2546
8/3/2013,2546
8/4/2013,2546
8/5/2013,2546
8/6/2013,2546
8/7/2013,2546
8/8/2013,2546
8/9/2013,2546
8/10/2013,2546
8/11/2013,2546
8/12/2013,2546
8/13/2013,2546
8/14/2013,727
8/15/2013,727
8/16/2013,727
8/17/2013,727
8/18/2013,727
8/19/2013,727
8/20/2013,727
8/21/2013,727
8/22/2013,727
8/23/2013,727
8/24/2013,727
8/25/2013,727
8/26/2013,727
8/27/2013,727
8/28/2013,727
8/29/2013,727
8/30/2013,727
8/31/2013,727
9/1/2013,727
9/2/2013,8986
9/3/2013,8986
9/4/2013,8986
9/5/2013,8986
9/6/2013,8986
9/7/2013,8986
9/8/2013,8986
9/9/2013,8986
9/10/2013,8986
9/11/2013,8986
9/12/2013,8986
9/13/2013,8986
9/14/2013,8986
9/15/2013,8986
9/16/2013,8986
9/17/2013,8986
9/18/2013,8986
9/19/2013,8986
9/20/2013,8986
9/21/2013,8986
9/22/2013,8986
9/23/2013,8986
9/24/2013,8986
9/25/2013,8986
9/26/2013,8986
9/27/2013,8986
9/28/2013,8986
9/29/2013,1108
9/30/2013,1108
10/1/2013,1108
10/2/2013,1108
10/3/2013,1108
10/4/2013,1108
10/5/2013,1108
10/6/2013,1108
10/7/2013,1108
10/8/2013,1108
10/9/2013,1108
10/10/2013,1108
10/11/2013,1108
10/12/2013,1108
10/13/2013,1108
10/14/2013,1108
10/15/2013,1108
10/16/2013,1108
10/17/2013,1108
10/18/2013,1108
10/19/2013,1108
10/20/2013,1108
10/21/2013,1108
10/22/2013,1108
10/23/2013,1108
10/24/2013,1108
10/25/2013,1108
10/26/2013,1108
10/27/2013,1108
10/28/2013,1108
10/29/2013,1108
10/30/2013,1108
10/31/2013,1108
11/1/2013,1108
11/2/2013,1108
11/3/2013,1108
11/4/2013,1108
11/5/2013,1108
11/6/2013,1108
11/7/2013,1108
11/8/2013,1108
11/9/2013,1108
11/10/2013,1108
11/11/2013,8716
11/12/2013,8716
11/13/2013,8716
11/14/2013,8716
11/15/2013,8716
11/16/2013,8716
11/17/2013,8716
11/18/2013,8716
11/19/2013,8716
11/20/2013,8716
11/21/2013,8716
11/22/2013,8716
11/23/2013,8716
11/24/2013,8716
11/25/2013,8716
11/26/2013,8716
11/27/2013,8716
11/28/2013,8716
11/29/2013,8716
11/30/2013,8716
12/1/2013,6087
12/2/2013,6087
12/3/2013,6087
12/4/2013,6087
12/5/2013,6087
12/6/2013,6087
12/7/2013,6087
12/8/2013,6087
12/9/2013,6087
12/10/2013,6087
12/11/2013,6087
12/12/2013,6087
12/13/2013,6087
12/14/2013,6087
12/15/2013,6087
12/16/2013,6087
12/17/2013,8779
12/18/2013,8779
12/19/2013,8779
12/20/2013,8779
12/21/2013,8779
12/22/2013,8779
12/23/2013,8779
12/24/2013,8779
12/25/2013,8779
12/26/2013,8779
12/27/2013,8779
12/28/2013,8779
12/29/2013,8779
12/30/2013,8779
12/31/2013,8779
1/1/2014,3974
1/2/2014,3974
1/3/2014,3974
1/4/2014,3974
1/5/2014,3974
1/6/2014,3974
1/7/2014,3974
1/8/2014,3974
1/9/2014,3974
1/10/2014,5000
1/11/2014,5000
1/12/2014,5000
1/13/2014,5000
1/14/2014,5000
1/15/2014,5000
1/16/2014,5000
1/17/2014,5000
1/18/2014,5000
1/19/2014,5000
1/20/2014,5000
1/21/2014,5000
1/22/2014,5000
1/23/2014,5000
1/24/2014,5000
1/25/2014,5000
1/26/2014,5000
1/27/2014,5000
1/28/2014,5000
1/29/2014,5000
1/30/2014,5000
1/31/2014,5000
2/1/2014,5000
2/2/2014,5000
2/3/2014,5000
2/4/2014,5000
2/5/2014,5000
2/6/2014,5000
2/7/2014,5000
2/8/2014,5000
2/9/2014,5000
2/10/2014,5000
2/11/2014,5000
2/12/2014,5000
2/13/2014,5000
2/14/2014,5000
2/15/2014,3974
2/16/2014,3974
2/17/2014,3974
2/18/2014,3974
2/19/2014,3974
2/20/2014,3974
2/21/2014,3974
2/22/2014,3974
2/23/2014,3974
2/24/2014,3974
2/25/2014,3974
2/26/2014,7000
2/27/2014,7000
2/28/2014,7000
3/1/2014,7000
3/2/2014,7000
3/3/2014,7000
3/4/2014,7000
3/5/2014,7000
3/6/2014,7000
3/7/2014,7000
3/8/2014,7000
3/9/2014,7000
3/10/2014,7000
3/11/2014,7000
3/12/2014,7000
3/13/2014,7000
3/14/2014,7000
3/15/2014,7000
3/16/2014,7000
3/17/2014,7000
3/18/2014,7000
3/19/2014,7000
3/20/2014,7000
3/21/2014,7000
3/22/2014,7000
3/23/2014,7000
3/24/2014,7000
3/25/2014,7000
3/26/2014,7000
3/27/2014,7000
3/28/2014,7000
3/29/2014,7000
3/30/2014,7000
3/31/2014,7000
4/1/2014,7000
4/2/2014,7000
4/3/2014,7000
4/4/2014,7000
4/5/2014,7000
4/6/2014,7000
4/7/2014,7000
4/8/2014,3974
4/9/2014,3974
4/10/2014,3974
4/11/2014,3974
4/12/2014,3974
4/13/2014,3974
4/14/2014,3974
4/15/2014,3974
4/16/2014,3974
4/17/2014,3974
4/18/2014,3974
4/19/2014,3974
4/20/2014,3974
4/21/2014,3974
4/22/2014,3974
4/23/2014,3974
4/24/2014,3974
4/25/2014,3974
4/26/2014,3974
4/27/2014,3974
4/28/2014,6600
4/29/2014,6600
4/30/2014,6600
5/1/2014,6600
5/2/2014,6600
5/3/2014,6600
5/4/2014,6600
5/5/2014,6600
5/6/2014,6600
5/7/2014,6600
5/8/2014,6600
5/9/2014,6600
5/10/2014,6600
5/11/2014,6600
5/12/2014,6600
5/13/2014,6600
5/14/2014,6600
5/15/2014,6600
5/16/2014,6600
5/17/2014,6600
5/18/2014,6600
5/19/2014,6600
5/20/2014,6600
5/21/2014,6600
5/22/2014,6600
5/23/2014,6600
5/24/2014,6600
5/25/2014,6600
5/26/2014,6600
5/27/2014,6600
5/28/2014,6600
5/29/2014,6600
5/30/2014,6600
5/31/2014,6600
6/1/2014,6600
6/2/2014,6600
6/3/2014,6600
6/4/2014,6600
6/5/2014,6600
6/6/2014,6600
6/7/2014,6600
6/8/2014,6600
6/9/2014,6600
6/10/2014,6600
6/11/2014,6600
6/12/2014,6600
6/13/2014,6600
6/14/2014,6600
6/15/2014,6600
6/16/2014,8000
6/17/2014,8000
6/18/2014,8000
6/19/2014,8000
6/20/2014,8000
6/21/2014,8000
6/22/2014,8000
