date,sales
1/1/2013,-996
1/2/2013,54186
1/3/2013,46932
1/4/2013,61911
1/5/2013,31592
1/6/2013,18409
1/7/2013,37665
1/8/2013,2561
1/9/2013,28107
1/10/2013,68739
1/11/2013,-26181
1/12/2013,56647
1/13/2013,77421
1/14/2013,15968
1/15/2013,7341
1/16/2013,-3447
1/17/2013,71776
1/18/2013,-17228
1/19/2013,-11558
1/20/2013,32941
1/21/2013,12356
1/22/2013,73872
1/23/2013,81246
1/24/2013,82714
1/25/2013,10476
1/26/2013,68247
1/27/2013,-21433
1/28/2013,-28145
1/29/2013,-28633
1/30/2013,67395
1/31/2013,-6485
2/1/2013,26189
2/2/2013,24595
2/3/2013,30645
2/4/2013,62444
2/5/2013,-29433
2/6/2013,341
2/7/2013,60777
2/8/2013,63952
2/9/2013,-8077
2/10/2013,-332
2/11/2013,-19700
2/12/2013,63262
2/13/2013,28332
2/14/2013,80604
2/15/2013,12833
2/16/2013,9360
2/17/2013,70327
2/18/2013,74862
2/19/2013,-14773
2/20/2013,53427
2/21/2013,65350
2/22/2013,16837
2/23/2013,65096
2/24/2013,-15376
2/25/2013,24637
2/26/2013,40661
2/27/2013,-4819
2/28/2013,48779
3/1/2013,1061
3/2/2013,58463
3/3/2013,10049
3/4/2013,-9596
3/5/2013,34618
3/6/2013,6582
3/7/2013,7705
3/8/2013,-20334
3/9/2013,22475
3/10/2013,73497
3/11/2013,58330
3/12/2013,52828
3/13/2013,34829
3/14/2013,55177
3/15/2013,44984
3/16/2013,9222
3/17/2013,65730
3/18/2013,79298
3/19/2013,57989
3/20/2013,36364
3/21/2013,68480
3/22/2013,80199
3/23/2013,39382
3/24/2013,76882
3/25/2013,-18381
3/26/2013,-3162
3/27/2013,59207
3/28/2013,18226
3/29/2013,29773
3/30/2013,73690
3/31/2013,-8353
4/1/2013,-8743
4/2/2013,30742
4/3/2013,67471
4/4/2013,-20379
4/5/2013,18199
4/6/2013,16802
4/7/2013,59324
4/8/2013,29785
4/9/2013,69976
4/10/2013,28678
4/11/2013,40610
4/12/2013,-13930
4/13/2013,-24518
4/14/2013,56778
4/15/2013,15049
4/16/2013,-1773
4/17/2013,8274
4/18/2013,18671
4/19/2013,12202
4/20/2013,48606
4/21/2013,-23764
4/22/2013,54371
4/23/2013,51357
4/24/2013,-109
4/25/2013,-20990
4/26/2013,5411
4/27/2013,67874
4/28/2013,22148
4/29/2013,75159
4/30/2013,-838
5/1/2013,8325
5/2/2013,1224
5/3/2013,-25418
5/4/2013,-23953
5/5/2013,8670
5/6/2013,29385
5/7/2013,-15093
5/8/2013,2030
5/9/2013,80319
5/10/2013,-29307
5/11/2013,-29188
5/12/2013,51398
5/13/2013,-7953
5/14/2013,49987
5/15/2013,-6153
5/16/2013,-17707
5/17/2013,79342
5/18/2013,9129
5/19/2013,-3122
5/20/2013,84800
5/21/2013,-10975
5/22/2013,27377
5/23/2013,16552
5/24/2013,12116
5/25/2013,75343
5/26/2013,52499
5/27/2013,66676
5/28/2013,-20760
5/29/2013,16732
5/30/2013,-15828
5/31/2013,55357
6/1/2013,34006
6/2/2013,-19879
6/3/2013,63501
