date,sales
1/1/2014,93669
1/2/2014,49625
1/3/2014,86874
1/4/2014,-11971
1/5/2014,65946
1/6/2014,83630
1/7/2014,41117
1/8/2014,-36316
1/9/2014,47629
1/10/2014,79037
1/11/2014,78078
1/12/2014,-30024
1/13/2014,31097
1/14/2014,22538
1/15/2014,23808
1/16/2014,-11574
1/17/2014,58804
1/18/2014,99135
1/19/2014,81179
1/20/2014,12106
1/21/2014,94132
1/22/2014,79830
1/23/2014,39310
1/24/2014,-10424
1/25/2014,74048
1/26/2014,-21099
1/27/2014,80784
1/28/2014,-2945
1/29/2014,-17349
1/30/2014,37080
1/31/2014,31966
2/1/2014,60928
2/2/2014,39126
2/3/2014,7765
2/4/2014,63054
2/5/2014,-16020
2/6/2014,73321
2/7/2014,39943
2/8/2014,46617
2/9/2014,22535
2/10/2014,21472
2/11/2014,30703
2/12/2014,-8233
2/13/2014,62377
2/14/2014,99223
2/15/2014,73455
2/16/2014,87981
2/17/2014,12797
2/18/2014,41547
2/19/2014,33000
2/20/2014,40923
2/21/2014,-16048
2/22/2014,1144
2/23/2014,41638
2/24/2014,66807
2/25/2014,85544
2/26/2014,57777
2/27/2014,78531
2/28/2014,38897
3/1/2014,7895
3/2/2014,76177
3/3/2014,72793
3/4/2014,-15330
3/5/2014,90150
3/6/2014,1393
3/7/2014,89263
3/8/2014,-30456
3/9/2014,-34895
3/10/2014,-6104
3/11/2014,78613
3/12/2014,62738
3/13/2014,99513
3/14/2014,53424
3/15/2014,9032
3/16/2014,92928
3/17/2014,37939
3/18/2014,52416
3/19/2014,-564
3/20/2014,63027
3/21/2014,22857
3/22/2014,52635
3/23/2014,91090
3/24/2014,-32376
3/25/2014,7422
3/26/2014,42482
3/27/2014,-19247
3/28/2014,-38570
3/29/2014,17562
3/30/2014,84656
3/31/2014,49296
4/1/2014,-10574
4/2/2014,-1504
4/3/2014,51992
4/4/2014,33386
4/5/2014,79227
4/6/2014,-8597
4/7/2014,-7503
4/8/2014,27081
4/9/2014,10021
4/10/2014,92987
4/11/2014,58174
4/12/2014,30646
4/13/2014,87671
4/14/2014,23162
4/15/2014,32711
4/16/2014,71933
4/17/2014,63463
4/18/2014,-7670
4/19/2014,9882
4/20/2014,23369
4/21/2014,-24034
4/22/2014,97778
4/23/2014,48772
4/24/2014,-18721
4/25/2014,47519
4/26/2014,23245
4/27/2014,92099
4/28/2014,36711
4/29/2014,72258
4/30/2014,73963
5/1/2014,-21972
5/2/2014,6017
5/3/2014,1812
5/4/2014,71216
5/5/2014,39457
5/6/2014,-25461
5/7/2014,33915
5/8/2014,-17176
5/9/2014,-23487
5/10/2014,8804
5/11/2014,83180
5/12/2014,44889
5/13/2014,90410
5/14/2014,51649
5/15/2014,-8126
5/16/2014,-24132
5/17/2014,85196
5/18/2014,6945
5/19/2014,36108
5/20/2014,27532
5/21/2014,-1984
5/22/2014,-750
5/23/2014,-4939
5/24/2014,74899
5/25/2014,1738
5/26/2014,-22514
5/27/2014,98259
5/28/2014,11763
5/29/2014,33612
5/30/2014,29162
5/31/2014,9434
6/1/2014,85535
6/2/2014,69183
6/3/2014,-24217
6/4/2014,465
6/5/2014,30484
6/6/2014,46639
6/7/2014,96347
6/8/2014,11940
6/9/2014,57224
6/10/2014,-246
6/11/2014,-15292
6/12/2014,71657
6/13/2014,-33984
6/14/2014,45421
6/15/2014,72879
6/16/2014,-15633
6/17/2014,18594
6/18/2014,17736
6/19/2014,64461
6/20/2014,-16331
6/21/2014,25487
6/22/2014,977
6/23/2014,63623
6/24/2014,-4746
6/25/2014,67925
6/26/2014,37701
6/27/2014,31893
6/28/2014,31523
6/29/2014,99626
6/30/2014,6204
7/1/2014,82818
7/2/2014,2183
7/3/2014,-407
7/4/2014,28818
7/5/2014,-8528
7/6/2014,-4195
7/7/2014,99579
7/8/2014,-26718
7/9/2014,25396
7/10/2014,75294
7/11/2014,30380
7/12/2014,49563
7/13/2014,11812
7/14/2014,71461
7/15/2014,62216
7/16/2014,9263
7/17/2014,17322
7/18/2014,42483
7/19/2014,39817
7/20/2014,-16794
7/21/2014,-17013
7/22/2014,23833
7/23/2014,-28556
7/24/2014,85784
7/25/2014,-29443
7/26/2014,95498
7/27/2014,-26568
7/28/2014,71451
7/29/2014,50980
7/30/2014,68537
7/31/2014,47911
8/1/2014,56233
8/2/2014,54063
8/3/2014,66787
8/4/2014,-39320
8/5/2014,-19662
8/6/2014,21418
8/7/2014,56675
8/8/2014,-36381
8/9/2014,36563
8/10/2014,-17010
8/11/2014,91154
8/12/2014,-28127
8/13/2014,-13033
8/14/2014,3191
8/15/2014,91487
8/16/2014,-10720
8/17/2014,2125
8/18/2014,19571
8/19/2014,67636
