date,sales
1/1/2015,-57109
1/2/2015,75313
1/3/2015,43683
1/4/2015,-53671
1/5/2015,50886
1/6/2015,-59190
1/7/2015,97365
1/8/2015,41974
1/9/2015,24895
1/10/2015,-35331
1/11/2015,-64352
1/12/2015,29219
1/13/2015,-32609
1/14/2015,16517
1/15/2015,46860
1/16/2015,71291
1/17/2015,61137
1/18/2015,41680
1/19/2015,-63172
1/20/2015,-29341
1/21/2015,56890
1/22/2015,-37282
1/23/2015,-27615
1/24/2015,87498
1/25/2015,-8354
1/26/2015,-24554
1/27/2015,-59887
1/28/2015,15807
1/29/2015,85978
1/30/2015,-67466
1/31/2015,24966
2/1/2015,20967
2/2/2015,23883
2/3/2015,-15945
2/4/2015,19898
2/5/2015,30523
2/6/2015,-13906
2/7/2015,-48600
2/8/2015,53998
2/9/2015,87479
2/10/2015,-4560
2/11/2015,-29629
2/12/2015,71375
2/13/2015,-31886
2/14/2015,98160
2/15/2015,-39538
2/16/2015,68376
2/17/2015,13201
2/18/2015,62677
2/19/2015,-41886
2/20/2015,-25500
2/21/2015,11698
2/22/2015,-55750
2/23/2015,82242
2/24/2015,-37916
2/25/2015,-29983
2/26/2015,4970
2/27/2015,20140
2/28/2015,97674
3/1/2015,33515
3/2/2015,46289
3/3/2015,77523
3/4/2015,-35751
3/5/2015,35589
3/6/2015,46488
3/7/2015,-65164
3/8/2015,98480
3/9/2015,-29992
3/10/2015,18375
3/11/2015,42524
3/12/2015,29253
3/13/2015,-18534
3/14/2015,73693
3/15/2015,-15954
3/16/2015,23138
3/17/2015,64082
3/18/2015,5982
3/19/2015,-27178
3/20/2015,-38514
3/21/2015,-45492
3/22/2015,-222
3/23/2015,-47271
3/24/2015,97423
3/25/2015,43816
3/26/2015,-22909
3/27/2015,87063
3/28/2015,56417
3/29/2015,-24466
3/30/2015,-65836
3/31/2015,19224
4/1/2015,-48465
4/2/2015,76741
4/3/2015,-29108
4/4/2015,48862
4/5/2015,41195
4/6/2015,17718
4/7/2015,-150
4/8/2015,97533
4/9/2015,87944
4/10/2015,65402
4/11/2015,16333
4/12/2015,58124
4/13/2015,-65200
4/14/2015,48658
4/15/2015,97576
4/16/2015,70621
4/17/2015,90321
4/18/2015,54913
4/19/2015,28113
4/20/2015,-19911
4/21/2015,19223
4/22/2015,-15154
4/23/2015,94543
4/24/2015,39977
4/25/2015,-26656
4/26/2015,-9123
4/27/2015,-50249
4/28/2015,26539
4/29/2015,-51967
4/30/2015,-24299
5/1/2015,-50562
5/2/2015,47564
5/3/2015,-17069
5/4/2015,-28139
5/5/2015,-57337
5/6/2015,93150
5/7/2015,-58271
5/8/2015,-35399
5/9/2015,30756
5/10/2015,67721
5/11/2015,70288
5/12/2015,-49831
5/13/2015,32803
5/14/2015,-1900
5/15/2015,19898
5/16/2015,-22157
5/17/2015,44578
5/18/2015,24995
5/19/2015,10994
5/20/2015,-19016
5/21/2015,31444
5/22/2015,86877
5/23/2015,-19684
5/24/2015,2827
5/25/2015,-65680
5/26/2015,37086
5/27/2015,9544
5/28/2015,82063
5/29/2015,33257
5/30/2015,25243
5/31/2015,10680
6/1/2015,-58266
6/2/2015,5368
6/3/2015,58241
6/4/2015,28991
6/5/2015,98761
6/6/2015,42158
6/7/2015,35665
6/8/2015,-14474
6/9/2015,-26638
6/10/2015,69876
6/11/2015,58573
6/12/2015,-38600
6/13/2015,85256
6/14/2015,-25557
6/15/2015,-41029
6/16/2015,95670
6/17/2015,22935
6/18/2015,43114
6/19/2015,-50640
6/20/2015,-19895
6/21/2015,98545
6/22/2015,-40701
6/23/2015,-9680
6/24/2015,75224
6/25/2015,-34488
6/26/2015,-49227
6/27/2015,62795
6/28/2015,1520
6/29/2015,78626
6/30/2015,-46392
7/1/2015,62462
7/2/2015,-31666
7/3/2015,90013
7/4/2015,-67547
7/5/2015,82591
7/6/2015,33329
7/7/2015,-29691
7/8/2015,89885
7/9/2015,-60201
7/10/2015,58883
7/11/2015,16825
7/12/2015,2732
7/13/2015,-34722
7/14/2015,90348
7/15/2015,95759
7/16/2015,46124
7/17/2015,81529
7/18/2015,26712
7/19/2015,96357
7/20/2015,-68542
7/21/2015,-48752
7/22/2015,-12535
7/23/2015,5781
7/24/2015,7847
7/25/2015,-60316
7/26/2015,17863
7/27/2015,75391
7/28/2015,24606
7/29/2015,59294
7/30/2015,23581
7/31/2015,-12998
8/1/2015,54440
8/2/2015,75864
8/3/2015,-11094
8/4/2015,90129
8/5/2015,28070
8/6/2015,80750
8/7/2015,-68822
8/8/2015,-17874
8/9/2015,-64481
8/10/2015,-48190
8/11/2015,-46064
8/12/2015,-24451
8/13/2015,-5204
8/14/2015,81060
8/15/2015,90199
8/16/2015,-6316
8/17/2015,-11293
8/18/2015,97477
8/19/2015,-3157
8/20/2015,17490
8/21/2015,72800
8/22/2015,-67051
8/23/2015,70654
8/24/2015,54974
8/25/2015,-63416
8/26/2015,92995
8/27/2015,18177
8/28/2015,98596
8/29/2015,84194
8/30/2015,-55137
8/31/2015,42795
9/1/2015,69403
9/2/2015,-4239
9/3/2015,12814
9/4/2015,-60833
9/5/2015,-31928
9/6/2015,68623
9/7/2015,75076
9/8/2015,22199
9/9/2015,28834
9/10/2015,-297
9/11/2015,34582
9/12/2015,291
9/13/2015,-36983
9/14/2015,-23079
9/15/2015,-67515
9/16/2015,30546
9/17/2015,-20777
9/18/2015,79346
9/19/2015,66998
9/20/2015,43450
9/21/2015,9725
9/22/2015,47498
9/23/2015,64185
9/24/2015,-60740
9/25/2015,1676
9/26/2015,60817
9/27/2015,-51425
9/28/2015,-19559
9/29/2015,28396
9/30/2015,-39891
10/1/2015,99796
10/2/2015,-4429
10/3/2015,-35167
10/4/2015,-36319
10/5/2015,91537
10/6/2015,-21080
10/7/2015,67375
10/8/2015,-22074
10/9/2015,29021
10/10/2015,-4532
10/11/2015,81424
10/12/2015,35102
10/13/2015,-54966
10/14/2015,-17446
10/15/2015,-54549
10/16/2015,38104
10/17/2015,-57724
10/18/2015,-59912
10/19/2015,-39732
10/20/2015,56324
10/21/2015,2696
10/22/2015,-20084
10/23/2015,40664
10/24/2015,84496
10/25/2015,31493
10/26/2015,-62558
10/27/2015,-29994
10/28/2015,94263
10/29/2015,-9302
10/30/2015,94993
10/31/2015,-24935
11/1/2015,86517
11/2/2015,45559
11/3/2015,-10884
11/4/2015,4755
11/5/2015,84318
11/6/2015,50134
11/7/2015,43418
11/8/2015,46993
11/9/2015,70552
11/10/2015,18580
11/11/2015,21703
11/12/2015,78037
11/13/2015,45660
11/14/2015,-40399
11/15/2015,21443
11/16/2015,13363
11/17/2015,-47858
11/18/2015,-31306
11/19/2015,-60727
11/20/2015,16847
11/21/2015,57608
11/22/2015,31288
11/23/2015,59065
11/24/2015,97294
11/25/2015,98850
11/26/2015,-55834
11/27/2015,34175
11/28/2015,-28917
11/29/2015,57220
11/30/2015,54088
12/1/2015,81671
12/2/2015,35295
12/3/2015,-8163
12/4/2015,-22063
12/5/2015,-4831
12/6/2015,-1397
12/7/2015,-68416
12/8/2015,-51401
12/9/2015,-43074
12/10/2015,25286
12/11/2015,379
12/12/2015,88685
12/13/2015,19231
12/14/2015,-14739
12/15/2015,7077
12/16/2015,-5678
12/17/2015,-39201
12/18/2015,-67186
12/19/2015,12896
12/20/2015,8430
12/21/2015,97573
12/22/2015,50442
12/23/2015,-54256
12/24/2015,-67666
12/25/2015,30527
12/26/2015,13770
12/27/2015,5332
12/28/2015,87217
12/29/2015,68151
12/30/2015,25270
12/31/2015,-37257
1/1/2016,-17925
1/2/2016,-59361
1/3/2016,21948
1/4/2016,-30205
1/5/2016,46375
1/6/2016,-9563
1/7/2016,6072
1/8/2016,-2195
