date,sales
1/1/2015,5800
1/2/2015,5800
1/3/2015,5800
1/4/2015,5800
1/5/2015,5800
1/6/2015,5800
1/7/2015,5800
1/8/2015,5800
1/9/2015,5800
1/10/2015,5800
1/11/2015,5800
1/12/2015,5800
1/13/2015,5800
1/14/2015,5800
1/15/2015,5800
1/16/2015,5800
1/17/2015,5800
1/18/2015,5800
1/19/2015,5800
1/20/2015,5800
1/21/2015,5800
1/22/2015,5800
1/23/2015,5800
1/24/2015,5800
1/25/2015,5800
1/26/2015,5800
1/27/2015,5800
1/28/2015,5800
1/29/2015,5800
1/30/2015,5800
1/31/2015,5800
2/1/2015,5800
2/2/2015,5800
2/3/2015,5800
2/4/2015,5800
2/5/2015,5800
2/6/2015,5800
2/7/2015,5800
2/8/2015,5800
2/9/2015,5800
2/10/2015,5800
2/11/2015,4900
2/12/2015,4900
2/13/2015,4900
2/14/2015,4900
2/15/2015,4900
2/16/2015,4900
2/17/2015,4900
2/18/2015,4900
2/19/2015,4900
2/20/2015,4900
2/21/2015,4900
2/22/2015,4900
2/23/2015,4900
2/24/2015,4900
2/25/2015,4900
2/26/2015,4900
2/27/2015,4900
2/28/2015,4900
3/1/2015,4900
3/2/2015,4900
3/3/2015,4900
3/4/2015,4900
3/5/2015,4900
3/6/2015,4900
3/7/2015,4900
3/8/2015,4900
3/9/2015,4900
3/10/2015,4900
3/11/2015,4900
3/12/2015,4900
3/13/2015,4900
3/14/2015,4900
3/15/2015,4900
3/16/2015,4900
3/17/2015,4900
3/18/2015,4900
3/19/2015,4900
3/20/2015,4900
3/21/2015,4900
3/22/2015,5000
3/23/2015,5000
3/24/2015,5000
3/25/2015,6000
3/26/2015,6000
3/27/2015,6000
3/28/2015,6000
3/29/2015,6000
3/30/2015,6000
3/31/2015,6000
4/1/2015,6000
4/2/2015,6000
4/3/2015,6000
4/4/2015,6000
4/5/2015,6000
4/6/2015,6000
4/7/2015,6000
4/8/2015,6000
4/9/2015,6000
4/10/2015,6000
4/11/2015,5000
4/12/2015,5000
4/13/2015,5000
4/14/2015,5000
4/15/2015,5000
4/16/2015,5000
4/17/2015,5000
4/18/2015,5000
4/19/2015,4600
4/20/2015,4600
4/21/2015,4600
4/22/2015,4600
4/23/2015,4600
4/24/2015,4600
4/25/2015,4600
4/26/2015,4600
4/27/2015,4600
4/28/2015,4600
4/29/2015,4600
4/30/2015,4600
5/1/2015,4600
5/2/2015,4600
5/3/2015,4600
5/4/2015,4600
5/5/2015,4600
5/6/2015,4600
